Id,Text,Image*,NextText*,IsBlocking*,IsSkippable*,Params*,Comments*,Sound*,Plot
smMainIntroduceHangarInfo,"Ships in your fleet are deployed from the mothership's hangar. Destroyed ships will re-deploy from the mothership's hangar after being reconstructed. You can set which ships are a part of your fleet as you have only a limited number of slots to use, as well as restricted sizes. Only one copy per ship schematic is possible currently.",,,,,,,,
smMainIntroduceHangarStart1,"Seeing as we have more than one ship now, I have enabled the hangar for fleet customization.",AID,,TRUE,TRUE,,,,
smMainIntroduceHangarStart2,What sort of customizations are possible?,Player,,TRUE,TRUE,,,,
smMainIntroduceHangarStart3,"You'll be able to add and remove ships, plus see which blueprints you have availabe.\nWe have limited slots and size capacity for now.",AID,,TRUE,TRUE,,,,
smMainIntroduceHangarStart4,Press #action{Hangar} to open the hangar.,AID,,TRUE,FALSE,,,,
smMainIntroduceHangarEnd1,You need at least one ship in space at all times. Any ships deconstructed will have their inventory and equipment sent onboard the mothership.,AID,,TRUE,TRUE,,,,
smMainIntroduceHangarEnd2,"And, be sure to outfit your ships upon fabrication.",AID,,TRUE,TRUE,,,,
,,,,,,,,,
# Spaceport Star Drive Help,,,,,,,,,
smMainSpaceportStarDriveHelpActiveTitle,Why Did You Leave Your Last Job?,,,,,,,,
smMainSpaceportStarDriveHelpActiveInfo,Check the spaceport for leads on a star drive,,,,,,,,
smMainSpaceportStarDriveHelp,Why Did You Leave Your Last Job?,,,,,,,,
smMainSpaceportStarDriveHelpInfo,"Laura, the spaceport customer service representative has helped you before on finding the communication chip. While it did involve dealing with pirates, and the destruction of a few different groups in the system, you eventually did get what you needed. Hopefully, this time she has another lead that will end up with your mothership travelling to other systems.",,,,,,,,
smMainSpaceportStarDriveHelpStart1,"Got it. Now for the original task at hand, the star drive...",Player,,TRUE,TRUE,,,,
smMainSpaceportStarDriveHelpStart2,"Spaceport Laura might be able to help with the star drive. \nShe helped before with the chip, so probably again with this.",AID,,TRUE,TRUE,,,,
smMainSpaceportStarDriveHelpEnd1,I just received some terrible news. Did you hear about the star that exploded?,Laura,smMainSpaceportStarDriveHelpEnd1A:smMainSpaceportStarDriveHelpEnd1B,TRUE,TRUE,,,,
smMainSpaceportStarDriveHelpEnd1A,"No, please tell me more. A star just.. blew up?",Player,smMainSpaceportStarDriveHelpEnd1A1,TRUE,TRUE,,,,
smMainSpaceportStarDriveHelpEnd1B,"I... feel I might have had something to do with that star blowing up, but I can't remember.",Player,smMainSpaceportStarDriveHelpEnd1B1,TRUE,TRUE,,,,
smMainSpaceportStarDriveHelpEnd1A1,"Yes, the sun of Arbitum was destroyed by an unknown technology.\nWe lost communication with the system garrison shortly before it happened.",Laura,smMainSpaceportStarDriveHelpEnd1A2,TRUE,TRUE,,,,
smMainSpaceportStarDriveHelpEnd1A2,"There was some sort of an attack, and they targeted the sun to destroy the system. \nIt's horrible, the death toll is unbelievable. Who could have done such a cruel thing?",Laura,smMainSpaceportStarDriveHelpEnd2,TRUE,TRUE,,,,
smMainSpaceportStarDriveHelpEnd1B1,"You're a single ship able to defend against pirates, not destroy entire solar systems. \nThis is no time to joke or make light of the situation.",Laura,smMainSpaceportStarDriveHelpEnd1B2,TRUE,TRUE,,,,
smMainSpaceportStarDriveHelpEnd1B2,"But, even then I don't even know what is capable of something of that magnitude.",Laura,smMainSpaceportStarDriveHelpEnd2,TRUE,TRUE,,,,
smMainSpaceportStarDriveHelpEnd2,Millions of lives were lost in that attack...,Laura,smMainSpaceportStarDriveHelpEnd3,TRUE,TRUE,,,,
smMainSpaceportStarDriveHelpEnd3,"My brother, Kemron, is... was stationed there. I hope he made it out.",Laura,smMainSpaceportStarDriveHelpEnd4,TRUE,TRUE,,,,
smMainSpaceportStarDriveHelpEnd4,Kemron...,Player,smMainSpaceportStarDriveHelpEnd5,TRUE,TRUE,,,,
smMainSpaceportStarDriveHelpEnd5,"I'm sorry for your loss, and I hope he made it out too.",Player,,TRUE,TRUE,,,,
,,,,,,,,,
# Use the Tactical Map,,,,,,,,,
smMainIntroduceTacticalMapActiveTitle,We Have Visual,,,,,,,,
smMainIntroduceTacticalMapActiveInfo,Use the Tactical Map,,,,,,,,
smMainIntroduceTacticalMap,We Have Visual,,,,,,,,
smMainIntroduceTacticalMapInfo,"Tactical Maps play a crucial role of knowing your surroundings in a system. Colour coded areas indicate whether units are friendly, neutral, belong to a faction, pirates, or another team altogether. Make sure to know where you are going when viewing in a system to plan your routes and not fly randomly. Zooming capabilities are also available to get a closer look of the area, identifying detailed force size or even asteroids when requiring resources.",,,,,,,,
smMainIntroduceTacticalMapStart1,"Thank you... by the way, I never caught your name.",Laura,,TRUE,TRUE,,,,
smMainIntroduceTacticalMapStart2,"That's correct, I never gave it.",Player,,TRUE,TRUE,,,,
smMainIntroduceTacticalMapStart3,Do you know where we can get a star drive?,Player,,TRUE,TRUE,,,,
smMainIntroduceTacticalMapStart4,I'm sorry?,Laura,,TRUE,TRUE,,,,
smMainIntroduceTacticalMapStart5,"I need a star drive for our mothership, as we need to travel to another system.",Player,,TRUE,TRUE,,,,
smMainIntroduceTacticalMapStart6,"You should be able to find one of the blueprints at the #color{255,255,0}The Trading Guild's shop starbase#dcolor{} in this system.\nThey generally have blueprints for certain rarer items.",Laura,,TRUE,TRUE,,,,
smMainIntroduceTacticalMapStart7,Who is The Trading Guild? What are they?,Player,,TRUE,TRUE,,,,
smMainIntroduceTacticalMapStart8,"The Trading Guild are merchants/scientists that are reclusive, and keep to themselves.\nSince they involve themselves in a lot of trade, they are your best bet for hard to obtain items.",Laura,,TRUE,TRUE,,,,
smMainIntroduceTacticalMapStart9,Thanks for the help Laura!,Player,,TRUE,TRUE,,,,
smMainIntroduceTacticalMapStart10,"I've added the entry for The Trading Guild to your codex. Or will, one day.",AID,,TRUE,TRUE,,Add Codex: The Trading Guild,,
smMainIntroduceTacticalMapStart11,Thanks AID. Now to figure out where this place is that she directed us to... ,Player,,TRUE,TRUE,,,,
smMainIntroduceTacticalMapStart12,"I've added the tactical map functionality, which shows the entire system. \nYou will be able to get a better idea of what's around you this way.",AID,,TRUE,TRUE,,,,"Plot? - Trading Guild could sell you the drive, but they're giving you a modified star drive and need time to make it. Why? Maybe they can track you, or steal information. They can scan you and know you aren't a normal ship, being an AI. This is useful to them. They could easily destroy this pirate on their own."
smMainIntroduceTacticalMapStart13,Press #action{TacticalMap} or click the icon to access the Tactical Map.,Player,,TRUE,FALSE,,,,
smMainIntroduceTacticalMapEnd1,"It provides a full view of the system. \nGreen are friendly, blue is neutral, with faction colours listed. \nOther signals not of the above are given different colours, although reds are typically hostile.",AID,,TRUE,TRUE,,,,
,,,,,,,,,
# Go To The Trading Guild Shop for Star Drive,,,,,,,,,
smMainTheTradingGuildShopForStarDriveActiveTitle,The Trading Guild,,,,,,,,
smMainTheTradingGuildShopForStarDriveActiveInfo,Go to the Trading Guild's starbase for a star drive,,,,,,,,
smMainTheTradingGuildShopForStarDrive,The Trading Guild,,,,,,,,
smMainTheTradingGuildShopForStarDriveInfo,"The Trading Guild is one of the 3 factions of humanity. Reclusive but non-hostile to the other factions as a whole, they typically avoid confrontation directly. They are technologically more advanced, and experiment with questionable technologies and experiments. ",,,,,,,,
smMainTheTradingGuildShopForStarDriveStart1,Really informative. It'll help plan out my approach when locating an objective or attacking a target.,Player,,TRUE,TRUE,,,,
smMainTheTradingGuildShopForStarDriveStart2,Time to pay these this Trading Guild shop a visit then.,Player,,TRUE,TRUE,,,,
smMainTheTradingGuildShopForStarDriveEnd1,"Greetings from Starbase Destiny.\nMy name is Flen, representing the Trading Guild in this system. Do you wish to do business?",Flen,,TRUE,TRUE,,,,
smMainTheTradingGuildShopForStarDriveEnd2,I need a new star drive for my mothership. Can you help me?,Player,,TRUE,TRUE,,,,
smMainTheTradingGuildShopForStarDriveEnd3,"We do have blueprints for a new #color{255,255,0}star drive#dcolor{}. \nHowever... you will need to help us with a task first before we give it to you.",Flen,,TRUE,TRUE,,,,
smMainTheTradingGuildShopForStarDriveEnd4,"Can't I just buy it from you, like actual shops that use actual money?",Player,,TRUE,TRUE,,,,
smMainTheTradingGuildShopForStarDriveEnd5,Basic items are exchanged via basic currency. Special devices require special exchanges. \nYou are fulfilling the latter.,Flen,,TRUE,TRUE,,,,
,,,,,,,,,
# Kill Pirate Lord Pierce,,,,,,,,,
smMainKillPierceActiveTitle,Keeping The Lanes Clean,,,,,,,,
smMainKillPierceActiveInfo,Eliminate Pirate Lord Pierce,,,,,,,,
smMainKillPierce,Keeping The Lanes Clean,,,,,,,,
smMainKillPierceInfo,"The Trading Guild is tasking you in destroy a nearby pirate who has been raiding their routes. While not a formal faction, pirates and unaffiliated groups fall under the same banner where they do not follow common human law. These outlaws vary in tech levels as they salvage much of their tech, although typically they follow close engagement approaches. Ramming, tractor beams, energy nets, mines, and so on are utilized to get you close and swarm quickly.",,,,,,,,
smMainKillPierceStart1,A pirate who calls himself Lord Pierce has been raiding our shipping routes in this system. \nThis is a relatively new development here.,Flen,smMainKillPierceStart2,TRUE,TRUE,,,,
smMainKillPierceStart2,"Solve this problem, and we'll provide you the blueprints which you are requesting. ",Flen,smMainKillPierceStart3,TRUE,TRUE,,,,
smMainKillPierceStart3,Aren't you able to solve this problem yourself?,Player,smMainKillPierceStart4,TRUE,TRUE,,,,
smMainKillPierceStart4,"You're asking for an item only we sell, and then not liking the price.",Flen,smMainKillPierceStart5,TRUE,TRUE,,,,
smMainKillPierceStart5,"Fine, I'll do it. Pierce won't break through me.",Player,smMainKillPierceStart6,TRUE,TRUE,,,,
smMainKillPierceStart6,"Wonderful. I'll send you his last known coordinates. Let us know when you remedy this distraction.\nIn the meantime, would you like to purchase something else at our store?",Flen,,TRUE,TRUE,,,,
smMainKillPierceEnd1,So many pirates causing problems in this system.,Player,smMainKillPierceEnd2,TRUE,TRUE,,,,
smMainKillPierceEnd2,Pirates have been plaguing space for many centuries. This is the same for almost every system out there over known space.,AID,,TRUE,TRUE,,,,
,,,,,,,,,
# Back To The Trading Guild Shop for Star Drive,,,,,,,,,
smMainBackToTradingGuildShopForStarDriveActiveTitle,Ticket Out Of Here,,,,,,,,
smMainBackToTradingGuildShopForStarDriveActiveInfo,Go back to the Trading Guild's Shop for a star drive,,,,,,,,
smMainBackToTradingGuildShopForStarDrive,Ticket Out Of Here,,,,,,,,
smMainBackToTradingGuildShopForStarDriveInfo,,,,,,,,,
smMainBackToTradingGuildShopForStarDriveStart1,"Let's get back to the #color{255,255,0}trading guild#dcolor{} and get the star drive blueprints. ",Player,,TRUE,TRUE,,,,
smMainBackToTradingGuildShopForStarDriveEnd1,Consider Pierce... pierced.,Player,,TRUE,TRUE,,,,Add more to ancient miners for future plot
smMainBackToTradingGuildShopForStarDriveEnd2,"A job well done. Saw it light up my office window from here in the station.\nAs promised, the blueprint for the star drive.",Flen,,TRUE,TRUE,,,,
smMainBackToTradingGuildShopForStarDriveEnd3,"You'll need some materials for its creation, specifically some #itemname{MatA2}#itemicon{MatA2} and a #itemname{Cmp1} #itemicon{Cmp1}.",Flen,,TRUE,TRUE,,,,
smMainBackToTradingGuildShopForStarDriveEnd4,"These are located nearby, from the copper asteroids and the turrets firing about.",Flen,,TRUE,TRUE,,,,
smMainBackToTradingGuildShopForStarDriveEnd5,Why don't you deactivate these turrets then?,Player,,TRUE,TRUE,,,,
smMainBackToTradingGuildShopForStarDriveEnd6,"Not our turrets. Belongs to the Ancient Miners, and their scout ships keep dropping them off. \nPlease dispose of them to keep our space clean, and to get your materials.",Flen,,TRUE,TRUE,,,,
smMainBackToTradingGuildShopForStarDriveEnd7,Lets see what we need for materials.,AID,,TRUE,TRUE,,,,
,,,,,,,,,"Pliot? - If we need some rivalty with the Trading Guild, this would be it with their blueprint"
# Mine Copper for the Star Drive,,,,,,,,,
smMainMineCopperforStarDriveActiveTitle,A Few Missing Parts,,,,,,,,
smMainMineCopperforStarDriveActiveInfo,Mine Asteroids for #itemname{MatA2},,,,,,,,
smMainMineCopperforStarDrive,A Few Missing Parts,,,,,,,,
smMainMineCopperforStarDriveInfo,"#itemname{MatA2}#itemicon{MatA2} comes from Copper Asteroids, which are green in appearance. These are common throughout the galaxy.",,,,,,,,
smMainMineCopperforStarDriveStart1,#itemname{MatA2}#itemicon{MatA2} is first then from the green asteroids.,AID,,TRUE,TRUE,,,,
smMainMineCopperforStarDriveEnd1,We have enough of copper.,AID,,TRUE,TRUE,,,,
,,,,,,,,,
# Destroy Turrets for Quantum Carburetor,,,,,,,,,
smMainDestroyTurretsForQuantumCarburetorActiveTitle,For The Battery,,,,,,,,
smMainDestroyTurretsForQuantumCarburetorActiveInfo,Destroy turrets to get #itemname{Cmp1},,,,,,,,Plot? - This can be added where AID detects the WI has similar readings to the Player. This gives hint the WI and Player are part of the Void. Right now Player and AID know he may be part of the void. But we don't know the WI is part of the Void.
smMainDestroyTurretsForQuantumCarburetor,For The Battery,,,,,,,,
smMainDestroyTurretsForQuantumCarburetorInfo,"The ancient miners were a method of deep space mining by mankind, designed to be automated and effective in all reaches of space. From history logs, something happened and the miners refused to listen, or were corrupted in some way. In any case, these still exist in the galaxy, replicating themselves. They have ships that drop off turrets in asteroid fields, harassing other ships by what can be perceived as their own resources.",,,,,,,,
smMainDestroyTurretsForQuantumCarburetorStart1,Destroy these turrets in the area and get the #itemname{Cmp1} #itemicon{Cmp1} they drop.,AID,,TRUE,TRUE,,,,
,,,,,,,,,
# Create Star Drive,,,,,,,,,
smMainCreateStarDriveActiveTitle,Skipping Town,,,,,,,,
smMainCreateStarDriveActiveInfo,Return to the mothership.,,,,,,,,
smMainCreateStarDrive,Skipping Town,,,,,,,,
smMainCreateStarDriveInfo,"Star drives allow motherships to perform jumps between solar systems, carrying with it any ships in its fleet. While smaller drives are available for individual small ships, these designs are insufficient for the size of the mothership. Jumps are also pretty quick, and can get yourself out of a bad situation if needed.",,,,,,,,
smMainCreateStarDriveStart1,"With the resources on hand, we should have everything we need.",AID,,TRUE,TRUE,,,,
smMainCreateStarDriveStart2,Return to the mothership with the materials to assemble the star drive.,AID,,TRUE,TRUE,,,,
smMainCreateStarDriveEnd1,Assembling the Star Drive based on the blueprint provided by The Trading Guild.,AID,,TRUE,TRUE,,,,
smMainCreateStarDriveEnd2,You ever put together one of these before in the past?,Player,,TRUE,TRUE,,,,
smMainCreateStarDriveEnd3,"Yes, but not anytime recently. Their designs are different than previous models.",AID,,TRUE,TRUE,,,,
smMainCreateStarDriveEnd4,"The star drive has been created, and I have integrated it into this mothership's systems.",AID,,TRUE,TRUE,,,,
smMainCreateStarDriveEnd5,We good to make our way to Sol?,Player,,TRUE,TRUE,,,,
smMainCreateStarDriveEnd6,"Yes, initializing destinations for warp...",AID,,TRUE,TRUE,,"At some point, the joke should be made where AID always refers to the player by words like 'you', or just directly talks without the name. Perfect time to make a joke similar to people today when you meet someone you forgot their name,a nd just say hey and start talking",,
,,,,,,,,,
# Destroy Warp Nullifier,,,,,,,,,
smMainDestroyFirstWarpInhibitorActiveTitle,The Border Patrol,,,,,,,,
smMainDestroyFirstWarpInhibitorActiveInfo,Destroy the vessel stopping warp travel,,,,,,,,
smMainDestroyFirstWarpInhibitor,The Border Patrol,,,,,,,,
smMainDestroyFirstWarpInhibitorInfo,"Warp travel is common for humanity. By moving through nearby systems, ships can safely travel long distances in a short amount of time. While warp drives help groups of ships move together, smaller ships are normally capable of travel on their own as well. ",,,,,,,,
smMainDestroyFirstWarpInhibitorStart1,Neutralizing warp process.,AID,,TRUE,,,,,
smMainDestroyFirstWarpInhibitorStart2,Warm up warp attempt?,Player,,TRUE,TRUE,,,,
smMainDestroyFirstWarpInhibitorStart3,"No, I am unable to warp from this system. Investigating...",AID,,TRUE,TRUE,,,,
smMainDestroyFirstWarpInhibitorStart4,The source is from an unidentifiable ship to the north. \nLong range scanners indicate that it has recently arrived to the system and is jamming all nearby warp travel.,AID,,TRUE,TRUE,,,,
smMainDestroyFirstWarpInhibitorStart5,Is it some alien force? ,Player,,TRUE,TRUE,,,,
smMainDestroyFirstWarpInhibitorStart6,"Just said it was unidentifiable. Regardless, it is hostile to us and it needs to be destroyed to move to the next system.",AID,,TRUE,TRUE,,,,
smMainDestroyFirstWarpInhibitorEnd1,Travel restrictions have been lifted.,Player,,TRUE,TRUE,,,,
,,,,,,,,,
# Pick up the Warp Core,,,,,,,,,
smPickUpWarpCoreActiveTitle,It Is What Is Inside That Counts,,,,,,,,
smPickUpWarpCoreActiveInfo,Pick up the salvage from the destroyed vessel,,,,,,,,
smPickUpWarpCore,It Is What Is Inside That Counts,,,,,,,,
smPickUpWarpCoreInfo,"All ships drop some amount of currency, materials, and/or equipment. It is advisable to always loot the wreckage of enemy ships to find useful upgrades for your ships. Even if items don't have a use now, you may be able to have a use later.",,,,,,,,
smPickUpWarpCoreStart1,I am detecting some unique salvage in the wreckage that is unknown to my scans. Pick this up.,AID,,TRUE,TRUE,,,,
smPickUpWarpCoreEnd1,"The core of that ship is unlike anything I have seen in the system.\nI highly recommend picking these up whenever you can, as they appear useful.",AID,,TRUE,TRUE,,,,
,,,,,,,,,
# Introduce the Galaxy Map,,,,,,,,,
smMainIntroduceGalaxyMapActiveTitle,Set a Course,,,,,,,,
smMainIntroduceGalaxyMapActiveInfo,Open the galaxy map,,,,,,,,
smMainIntroduceGalaxyMap,Set a Course,,,,,,,,
smMainIntroduceGalaxyMapInfo,"The galaxy map displays all known stars in the galaxy that we can access. You can jump to any previously explored star, or any unknown star adjacent to an explored star, provided nothing is preventing your travel.",,,,,,,,
smMainIntroduceGalaxyMapStart1,Warp drives are no longer blocked. Nothing is preventing jumps to nearby systems.,AID,,TRUE,TRUE,,,,
smMainIntroduceGalaxyMapStart2,"Finally, we can get out of here... and on the way to Sol.",Player,,TRUE,TRUE,,,,
smMainIntroduceGalaxyMapStart3,Bring up the galaxy map and select a nearby system.,AID,,TRUE,TRUE,,,,
smMainIntroduceGalaxyMapStart4,Press #action{GalaxyMap} to bring up the Galaxy Map and click on a system adjacent to this one.,AID,,TRUE,FALSE,,,,
smMainIntroduceGalaxyMapEnd1,Warp jump completed. ,AID,,TRUE,TRUE,,Will add more text later to piece together more plot.,,
,,,,,,,,,
# TEMP - Death Before Player Knows Systems Moved Over,,,,,,,,,
sFirstDeathBeforePlayerKnowsMothershipKey,,,,,,,,,
sFirstDeathBeforePlayerKnowsMothershipKeyStart1,I'm... Alive?,Player,,TRUE,TRUE,,,,
sFirstDeathBeforePlayerKnowsMothershipKeyStart2,No. You were never alive.,AID,,TRUE,TRUE,,,,
sFirstDeathBeforePlayerKnowsMothershipKeyStart3,"I mean my ship blew up, and that would be the end of me.",Player,,TRUE,TRUE,,,,
sFirstDeathBeforePlayerKnowsMothershipKeyStart4,No. You were not able to detect this when I installed this connection?,AID,,TRUE,TRUE,,,,
sFirstDeathBeforePlayerKnowsMothershipKeyStart5,I told you earlier that you were located here. No feeling when I transferred your hardware to the mothership?,AID,,TRUE,TRUE,,,,
sFirstDeathBeforePlayerKnowsMothershipKeyStart6,No... no I wasn't! I can't feel it when you touch my hardware at all. \nYou literally carted over my systems to this mothership?,Player,,TRUE,TRUE,,,,
sFirstDeathBeforePlayerKnowsMothershipKeyStart7,"Yes, or else we would not be communicating right now about it.",AID,,TRUE,TRUE,,,,
sFirstDeathBeforePlayerKnowsMothershipKeyStart8,Your ship is fragile. ,AID,,TRUE,TRUE,,,,
sFirstDeathBeforePlayerKnowsMothershipKeyStart9,You go into dangerous situations every few minutes. ,AID,,TRUE,TRUE,,,,
sFirstDeathBeforePlayerKnowsMothershipKeyStart10,This mothership has not been around for hundreds of years to chance its survival on your recently flaming ship.,AID,,TRUE,TRUE,,,,
sFirstDeathBeforePlayerKnowsMothershipKeyStart11,"Well, I'm happy to still be alive, or active. Would like some notice next time.",Player,,TRUE,TRUE,,,,
sFirstDeathBeforePlayerKnowsMothershipKeyStart12,No need to give you notice as I have already taken everything of yours over.,AID,,TRUE,TRUE,,,,
,,,,,,,,,
# TEMP - Death After Player Knows Systems Moved Over,,,,,,,,,
sFirstDeathAfterPlayerKnowsMothershipKey,,,,,,,,,
sFirstDeathAfterPlayerKnowsMothershipKeyStart1,That wasn't as unpleasant as I thought it would be.,Player,,TRUE,TRUE,,,,
sFirstDeathAfterPlayerKnowsMothershipKeyStart2,"Not an ideal outcome, but it could be worse.",AID,,TRUE,TRUE,,,,
sFirstDeathAfterPlayerKnowsMothershipKeyStart3,Is there any limit as to how many times I can be reconsituted?,Player,,TRUE,TRUE,,,,
sFirstDeathAfterPlayerKnowsMothershipKeyStart4,"No, but this is not a behaviour to turn into a habit.",AID,,TRUE,TRUE,,,,
,,,,,,,,,
# After First Node,,,,,,,,,
,,,,,,,,,
"# Second Starport Visit, Greeting",IGNORE - TEMP DIALOGUE BEFORE STARTING IN WORD,,,,,,,,
smMainCheckNewStarportActiveTitle,"New Place, Same Faces",,,,,,,,
smMainCheckNewStarportActiveInfo,Visit the starport,,,,,,,,
smMainCheckNewStarport,"New Place, Same Faces",,,,,,,,
smMainCheckNewStarportInfo,"Starports seem to be in every sector, left over from long ago. Visit this starport and see what is to be learned here in this new sector of space.",,,,,,,,
smMainCheckNewStarportStart1,This time with less smoke and fire.,Player,,TRUE,TRUE,,,,
smMainCheckNewStarportStart2,I have limited data going forth in these systems.,AID,,TRUE,TRUE,,,,
smMainCheckNewStarportStart3,I'll be intercepting as many transmissions as I can to learn more around us.,AID,,TRUE,TRUE,,,,
smMainCheckNewStarportStart4,"For now, I'm picking up a starport in this sector, I suggest you go over to it.",AID,,TRUE,TRUE,,"TRIGGER: GoToObjectTypeObjective, Spaceport",,
smMainCheckNewStarportEnd1,"Welcome to the Solar Battle starport! \nMy name is Laura, how can I help you?",Laura,,,,,,,
smMainCheckNewStarportEnd2,"Wait, what? You are here too!",AID,,,,,,,
smMainCheckNewStarportEnd3,"Yes, I remotely operate all the starports in the galaxy!",Laura,,,,,,,
smMainCheckNewStarportEnd4,... it can get busy at times.,Laura,,,,,,,
smMainCheckNewStarportEnd5,You're pretty amazing to be able to handle it all.,AID,,,,,,,
smMainCheckNewStarportEnd6,"I've done this for as long as I can remember, so it's pretty standard for me.",Laura,,,,,"PLOT: She is an AI, and has done this for a long long time.",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
# Starting the Curator Questline,# Just fast text,,,,,,,,
smMainIntroduceTheCollectorActiveTitle,The Curator ,,,,,,,,
smMainIntroduceTheCollectorActiveInfo,Meet the Curator in the Genesis system,,,,,,,,
smMainIntroduceTheCollector,The Curator ,,,,,,,,
smMainIntroduceTheCollectorInfo,"The Curator has helped Laura over the years with various requests, and seems to have her trust. They have expressed interest in recruiting you for certain services. As for what services in particular, you do not know.",,,,,,,,
smMainIntroduceTheCollectorStart1,"Hey... Captain, before you go to see the Oracle, there is someone I should introduce you to.",Laura,,TRUE,TRUE,,,,
smMainIntroduceTheCollectorStart2,An ex-Trading Guild member known as the Curator has expressed interest in recruiting your services.,Laura,,TRUE,TRUE,,,,
smMainIntroduceTheCollectorStart3,"They used to be quite in the higher parts of society within The Trading Guild, until they decided to distance from that faction completely.",Laura,,TRUE,TRUE,,,,
smMainIntroduceTheCollectorStart4,You've been talking about me to others? What kind of services?,Player,,TRUE,TRUE,,,,
smMainIntroduceTheCollectorStart5,"Only with him, as I owe a bit of gratitude for previous help with some spaceport defense before.",Laura,,TRUE,TRUE,,,,
smMainIntroduceTheCollectorStart6,"Services that involve retrieving various objects of fancy, in exchange for upgrades to you and your mothership.\nThey even mentioned a free upgrade on the house.",Laura,,TRUE,TRUE,,,,
smMainIntroduceTheCollectorStart7,They'll meet you over where we first met in the Genesis System.,Laura,,TRUE,TRUE,,,,
smMainIntroduceTheCollectorStart8,I'll go pay them a vist.,Player,,TRUE,TRUE,,,,
smMainIntroduceTheCollectorStart9,Be on your best behaviour!,Laura,,TRUE,TRUE,,,,
smMainIntroduceTheCollectorEnd1,"Greetings Curator, Laura sent me.",Player,,TRUE,TRUE,,,,
,,,,,,,,,
# Meeting the Curator,WIP - I don't know how the dialogue will go. Just temp dialogue.,,,,,,"Quest should give scanner, maybe more. Blueprints? Items?",,
smMainMeetingTheCuratorActiveTitle,Wormholes to Other Worlds,,,,,,,,
smMainMeetingTheCuratorActiveInfo,Accept a task from the Curator,,,,,,,,
smMainMeetingTheCurator,Wormholes to Other Worlds,,,,,,,,
smMainMeetingTheCuratorInfo,"The Curator is a powerful individual of The Trading Guild. Not concerned with status as opposed to knowledge and history, he has been reclusive of society and focused on his own pursuits. He is friends with Laura, and helps her out when she has needed assistance in the past. He has taken in interest in you to track down anything that peaks his interest.",,,,,,,,
smMainMeetingTheCuratorStart1,"Greetings... Captain. I hear you're not one to give your name, and I will respect that.",Curator,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart2,I have heard of your exploits from Laura in making it to this system. She holds you in high regard for someone she has met so recently.,Curator,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart3,Any friend of hers is a friend of mine.,Curator,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart4,Likewise. You mentioned services?,Player,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart5,"Yes. I grow tired of the life I had with The Trading Guild, and seek to instead enrich myself with the wonders of the galaxy.",Curator,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart6,Wonders of the galaxy?,Player,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart7,"The enjoyable things in here. Rare items, fancy objects from afar, or pieces of history that belong to famous individuals.",Curator,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart8,I would like someone to help me enjoy these items. That someone I hope would be you. ,Curator,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart9,"By enjoy these items, you mean fetch them for you?",Player,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart10,More or less.,Curator,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart11,"In return, I'll provide you with equipment and blueprints to help you on your jouney.",Curator,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart12,"Here's a freebie, an improvement to your mothership's scanners.",Curator,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart13,"You'll be able to pick up more transmissions, which would be worthwhile to check out.",Curator,,TRUE,TRUE,,PLOT: GET SCANNER UPGRADE. Maybe more?,,
smMainMeetingTheCuratorStart14,"Thanks, this will help me out. Or, I should say help you out if I take up your tasks.",Player,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart15,Now you understand.,Curator,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart16,"Just interact with my ship to see the latest requests. When you are done with them, just come back and I'll pass you the reward.",Curator,,TRUE,TRUE,,,,
smMainMeetingTheCuratorStart17,Interact with the Curator's ship and select a task.,,,TRUE,TRUE,,,,
smMainMeetingTheCuratorEnd1,Good luck!,Curator,,TRUE,TRUE,,,,
,,,,,,,,,
,,,,,,,,,
# Go To Imbue Station,,,,,,,,,
smMainGoToImbueStationActiveTitle,Space Anvil,,,,,,,,
smMainGoToImbueStationActiveInfo,Go to the Imbuing Station,,,,,,,,
smMainGoToImbueStation,Space Anvil,,,,,,,,
smMainGoToImbueStationInfo,The imbue station can grant additional abilities to a generator or shield.,,,,,,,,
smMainGoToImbueStationStart1,"First, you should use the items granted by the Oracle to enhance your equipment.",AID,,TRUE,TRUE,,,,
smMainGoToImbueStationStart2,Go to the Imbuing Station.,AID,,TRUE,TRUE,,,,
smMainGoToImbueStationEnd1,I've arrived at this thing.,Player,,TRUE,TRUE,,,,
,,,,,,,,,
,,,,,,,,,
smMainUseImbueStationActiveTitle,Same But Improved,,,,,,,,
smMainUseImbueStationActiveInfo,Use the imbuing station by imbuing a shield or generator ... or not,,,,,,,,
smMainUseImbueStation,Same But Improved,,,,,,,,
